order_no,issued_date,closes_area,closure_type,closes_edit
PTN-2013-280,2013-08-23,"Area 25, except SA 25-3 to 25-8, 25-11 AND 25-15,",biotoxins,"area 25  except sa 25~3, 25~4, 25~5, 25~6, 25~7, 25~8  25~11 and 25~15 "
PTN-2013-284,2013-08-27,"Area 7, except SA 7-1 to 7-3, 7-8, 7-9, 7-12, 7-17, 7-21 to 7-23 and 7-31",biotoxins,"area 7  except sa 7~1, 7~2, 7~3  7~8  7~9  7~12  7~17  7~21, 7~22, 7~23 and 7~31"
PTN-2013-285,2013-08-27,"SA  7-1 to 7-3, 7-8, 7-9, 7-12, 7-17, 7-21 to 7-23 and 7-31",biotoxins,"sa 7~1, 7~2, 7~3  7~8  7~9  7~12  7~17  7~21, 7~22, 7~23 and 7~31"
PTN-2013-286,2013-08-28,"Area 24 except 24-2 to 24-7, 24-13, 24-14",biotoxins,"area 24 except 24~2, 24~3, 24~4, 24~5, 24~6, 24~7  24~13  24~14"
PTN-2013-287,2013-08-28,"SA 24-2 to 24-4, 24-13, 24-14",biotoxins,"sa 24~2, 24~3, 24~4  24~13  24~14"
ptn-2013-289,2013-08-29,"Area 25, except SA 25-4 to 25-8, 25-11",biotoxins,"area 25  except sa 25~4, 25~5, 25~6, 25~7, 25~8  25~11"
PTN-2013-294,2013-09-04,"Area 25, except SA 25-4 to 25-8",biotoxins,"area 25  except sa 25~4, 25~5, 25~6, 25~7, 25~8"
PTN-2013-302,2013-09-12,"SA 17-4 TO 17-6, 17-8 TO 7-10, 17-12, 17-13, 17-15, 17-17,",biotoxins,"sa 17~4, 17~5, 17~6  17~8, 17~9, 17~10  17~12  17~13  17~15  17~17 "
PTN-2013-303,2013-09-12,"Areas 12 to 29, except SA 13-1, 13-3 to 13-14, 13-16, 13-17, 14-5, 14-8, 14-15",biotoxins,"areas   except sa 13~1  13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12, 13~13, 13~14  13~16  13~17  14~5  14~8  14~15"
PTN-2013-304,2013-09-12,"SA 17-11, 17-12, 17-18 TO 17-20",biotoxins,"sa 17~11  17~12  17~18, 17~19, 17~20"
PTN-2013-305,2013-09-18,"Area 7, except SA 7-1 to 7-3, 7-8, 7-9, 7-12, 7-17, 7-21 to 7-23, 7-26, 7-27,and 7-31",biotoxins,"area 7  except sa 7~1, 7~2, 7~3  7~8  7~9  7~12  7~17  7~21, 7~22, 7~23  7~26  7~27 and 7~31"
PTN-2013-306,2013-09-18,"SA  7-1 to 7-3, 7-8, 7-9, 7-12, 7-17, 7-21 to 7-23, 7-26, 7-27, and 7-31",biotoxins,"sa 7~1, 7~2, 7~3  7~8  7~9  7~12  7~17  7~21, 7~22, 7~23  7~26  7~27  and 7~31"
PTN-2013-31,2013-01-23,"Area 16, except 16-1, 16-2, 16-5 to 16-9, 16-11 to 16-13, 16-16,  and 16-19 to 16-22",biotoxins,"area 16  except 16~1  16~2  16~5, 16~6, 16~7, 16~8, 16~9  16~11, 16~12, 16~13  16~16  and 16~19, 16~20, 16~21, 16~22"
ptn-2013-324,2013-10-04,"Area 7, except SA 7-3, 7-4, 7-8, 7-9, 7-12, 7-17, 7-21 to 7-23, 7-26, 7-27",biotoxins,"area 7  except sa 7~3  7~4  7~8  7~9  7~12  7~17  7~21, 7~22, 7~23  7~26  7~27"
ptn-2013-325,2013-10-04,"SA  7-3, 7-8, 7-9, 7-12, 7-17, 7-21 to 7-23, 7-26, 7-27",biotoxins,"sa 7~3  7~8  7~9  7~12  7~17  7~21, 7~22, 7~23  7~26  7~27"
ptn-2013-326,2013-10-04,"Area 15, except 15-1 to  15-5",biotoxins,"area 15  except 15~1, 15~2, 15~3, 15~4, 15~5"
ptn-2013-331,2013-10-17,"SA 17-1 TO 17-6, 17-8 TO 7-10, 17-12, 17-13, 17-15, 17-17,",biotoxins,"sa 17~1, 17~2, 17~3, 17~4, 17~5, 17~6  17~8, 17~9, 17~10  17~12  17~13  17~15  17~17 "
PTN-2013-335,2013-10-25,"SA 17-7, 17-11, 17-12, 17-14 and 17-18 to 17-20",biotoxins,"sa 17~7  17~11  17~12  17~14 and 17~18, 17~19, 17~20"
PTN-2013-339,2013-11-01,Area 25 except 25-3 to 25-7 and 25-15,biotoxins,"area 25 except 25~3, 25~4, 25~5, 25~6, 25~7 and 25~15"
PTN-2013-358,2013-11-21,"Areas 12 to 29, except SA 13-1, 13-3 to 13-17, 14-5, 14-8, 14-15",biotoxins,"areas   except sa 13~1  13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12, 13~13, 13~14, 13~15, 13~16, 13~17  14~5  14~8  14~15"
PTN-2013-36,2013-01-10,"Area 19, except SA 19-5 TO 19-12",biotoxins,"area 19  except sa 19~5, 19~6, 19~7, 19~8, 19~9, 19~10, 19~11, 19~12"
PTN-2013-363,2013-11-28,Area 25 except 25-3 to 25-11 and 25-13 TO 25-15,biotoxins,"area 25 except 25~3, 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11 and 25~13 to 25~15"
PTN-2013-364,2013-11-28,SA 25-3 to 25-11 and 25-13 TO 25-15,biotoxins,"sa 25~3, 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11 and 25~13 to 25~15"
PTN-2013-367,2013-11-29,Area 25 except 25-3 TO 25-15,biotoxins,"area 25 except 25~3, 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11, 25~12, 25~13, 25~14, 25~15"
PTN-2013-368,2013-11-29,SA 25-3 to 25-15,biotoxins,"sa 25~3, 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11, 25~12, 25~13, 25~14, 25~15"
PTN-2013-37,2013-01-10,SA 19-5 TO 19-12,biotoxins,"sa 19~5, 19~6, 19~7, 19~8, 19~9, 19~10, 19~11, 19~12"
PTN-2013-37,2013-01-31,Area 13 except SA 13-3 to 13-13 and 13-15 to 13-18,biotoxins,"area 13 except sa 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12, 13~13 and 13~15 to 13~18"
PTN-2013-371,2013-12-05,"Area 6, except 6-11, 6-14 TO 6-16, 6-18 and 6-19",biotoxins,"area 6  except 6~11  6~14, 6~15, 6~16  6~18 and 6~19"
PTN-2013-372,2013-12-05,"SA 6-11, 6-14 TO 6-16, 6-18, 6-19",biotoxins,"sa 6~11  6~14, 6~15, 6~16  6~18  6~19"
PTN-2013-38,2013-01-31,"Areas 12 to 29, except  13-3 to 13-11, 13-18, 14-5, 14-8, 14-15, 16-16",biotoxins,"areas   except 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11  13~18  14~5  14~8  14~15  16~16"
PTN-2013-385,2013-12-17,Area 24 except 24-4  TO 24-7 and 24-9,biotoxins,"area 24 except 24~4, 24~5, 24~6, 24~7 and 24~9"
PTN-2013-43,2013-01-31,"SA 23-3 to 23-5, Ptn of SA  23-6 (useless inlet)",biotoxins,"sa 23~3, 23~4, 23~5  ptn of sa 23~6 (useless inlet)"
PTN-2013-44,2013-02-01,"Areas 12 to 29, except  13-3 to 13-11, 13-18, 14-5, 14-8, 14-15, 16-16, 17-20",biotoxins,"areas   except 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11  13~18  14~5  14~8  14~15  16~16  17~20"
PTN-2013-46,2013-02-07,"Area 24 except 24-2 to 24-7, 24-9, 24-13, 24-14",biotoxins,"area 24 except 24~2, 24~3, 24~4, 24~5, 24~6, 24~7  24~9  24~13  24~14"
PTN-2013-47,2013-02-07,"SA 24-2 to 244, 24-9, 24-13, 24-14",biotoxins,sa   24~9  24~13  24~14
PTN-2013-52,2013-02-12,"Areas 12 to 29, except  13-3 to 13-11, 13-18, 14-5, 14-8, 14-15, 15-4, 16-16, 17-20",biotoxins,"areas   except 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11  13~18  14~5  14~8  14~15  15~4  16~16  17~20"
PTN-2013-54,2013-02-14,"Area 12, except SA 12-2, 12-10 to 12-13, 12-15, 12-16, 12-22, 12-23 AND 12-26",biotoxins,"area 12  except sa 12~2  12~10, 12~11, 12~12, 12~13  12~15  12~16  12~22  12~23 and 12~26"
PTN-2013-55,2013-02-14,"SA 12-10 to 12-13, 12-15 and 12-16",biotoxins,"sa 12~10, 12~11, 12~12, 12~13  12~15 and 12~16"
PTN-2013-56,2013-02-21,"Areas 12 to 29, except  13-3 to 13-11, 13-16 to13-18, 14-5, 14-8, 14-15, 15-4, 16-16, 17-20",biotoxins,"areas   except 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11  13~16 to13~18  14~5  14~8  14~15  15~4  16~16  17~20"
PTN-2013-58,2013-02-21,"Area 7, except SA 7-17 to 7-21, 7-23 to 7-25 and 7-27",biotoxins,"area 7  except sa 7~17, 7~18, 7~19, 7~20, 7~21  7~23, 7~24, 7~25 and 7~27"
PTN-2013-59,2013-02-21,"SA 7-18, 7-21, 7-23 to 7-25 and 7-27",biotoxins,"sa 7~18  7~21  7~23, 7~24, 7~25 and 7~27"
PTN-2013-62,2013-02-26,SA 20-1 to 20-5,biotoxins,"sa 20~1, 20~2, 20~3, 20~4, 20~5"
PTN-2013-63,2013-02-27,"Area 16, except 16-1, 16-2, 16-5 to 16-13, 16-16 to 16-22",biotoxins,"area 16  except 16~1  16~2  16~5, 16~6, 16~7, 16~8, 16~9, 16~10, 16~11, 16~12, 16~13  16~16, 16~17, 16~18, 16~19, 16~20, 16~21, 16~22"
PTN-2013-66,2013-02-28,"Area 25, except SA 25-3 to 25-15,",biotoxins,"area 25  except sa 25~3, 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11, 25~12, 25~13, 25~14, 25~15 "
PTN-2013-67,2013-02-28,SA 25-3 to 25-15,biotoxins,"sa 25~3, 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11, 25~12, 25~13, 25~14, 25~15"
PTN-2013-68,2013-03-01,"Area 7, except SA 7-17 to 7-21, 7-23 to 7-25 and 7-27 and 7-28",biotoxins,"area 7  except sa 7~17, 7~18, 7~19, 7~20, 7~21  7~23, 7~24, 7~25 and 7~27 and 7~28"
PTN-2013-69,2013-03-01,"SA 7-18, 7-21, 7-23 to 7-25 and 7-27 and 7-28",biotoxins,"sa 7~18  7~21  7~23, 7~24, 7~25 and 7~27 and 7~28"
PTN-2013-70,2013-03-01,"SA 17-1 TO 17--9, AND 17-12 TO 17-16 and 17-18 to 17-21",biotoxins,"sa --9  and 17~12, 17~13, 17~14, 17~15, 17~16 and 17~18 to 17~21"
PTN-2013-71,2013-03-01,"Area 18, except 18-1 to 18-11",biotoxins,"area 18  except 18~1, 18~2, 18~3, 18~4, 18~5, 18~6, 18~7, 18~8, 18~9, 18~10, 18~11"
PTN-2013-72,2013-03-01,Subarea 18-1 to 18-11,biotoxins,"subarea 18~1, 18~2, 18~3, 18~4, 18~5, 18~6, 18~7, 18~8, 18~9, 18~10, 18~11"
PTN-2013-73,2013-03-01,"Area 19,except SA 19-5 to 19-12",biotoxins,"area 19 except sa 19~5, 19~6, 19~7, 19~8, 19~9, 19~10, 19~11, 19~12"
PTN-2013-74,2013-03-01,SA 19-5 to 19-12,biotoxins,"sa 19~5, 19~6, 19~7, 19~8, 19~9, 19~10, 19~11, 19~12"
PTN-2013-79,2013-03-07,"Areas 12 to 29, except  13-3 to 13-13, 13-16 to13-18, 14-5, 14-8, 14-15, 15-4, 16-16, 17-20",biotoxins,"areas   except 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12, 13~13  13~16 to13~18  14~5  14~8  14~15  15~4  16~16  17~20"
PTN-2013-80,2013-03-08,Area 13 except SA 13-3 to 13-18,biotoxins,"area 13 except sa 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12, 13~13, 13~14, 13~15, 13~16, 13~17, 13~18"
PTN-2013-81,2013-03-08,"Areas 12 to 29, except  13-3 to 13-14, 13-16 to13-18, 14-5, 14-8, 14-15, 15-4, 16-16, 17-20",biotoxins,"areas   except 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12, 13~13, 13~14  13~16 to13~18  14~5  14~8  14~15  15~4  16~16  17~20"
PTN-2013-86,2013-03-19,"Area 7, except SA 7-17 to 7-21, 7-23 to 7-25 and 7-27, 7-28 and 7-32",biotoxins,"area 7  except sa 7~17, 7~18, 7~19, 7~20, 7~21  7~23, 7~24, 7~25 and 7~27  7~28 and 7~32"
PTN-2013-87,2013-03-19,"SA 7-18, 7-21, 7-23 to 7-25 and 7-27, 7-28 and 7-32",biotoxins,"sa 7~18  7~21  7~23, 7~24, 7~25 and 7~27  7~28 and 7~32"
PTN-2013-88,2013-03-20,"Area 7, except SA 7-1, 7-17 to 7-21, 7-23 to 7-25 and 7-27, 7-28 and 7-32",biotoxins,"area 7  except sa 7~1  7~17, 7~18, 7~19, 7~20, 7~21  7~23, 7~24, 7~25 and 7~27  7~28 and 7~32"
PTN-2013-89,2013-03-20,"SA 7-1, 7-18 to 7-21, 7-23 to 7-25 and 7-27, 7-28 and 7-32",biotoxins,"sa 7~1  7~18, 7~19, 7~20, 7~21  7~23, 7~24, 7~25 and 7~27  7~28 and 7~32"
PTN-2013-90,2013-03-20,"Area 18, except 18-2, 18-3 and 18-6 to 18-10",biotoxins,"area 18  except 18~2  18~3 and 18~6, 18~7, 18~8, 18~9, 18~10"
PTN-2013-91,2013-03-20,"Subarea 18-2, 18-3, 18-6 to 18-10",biotoxins,"subarea 18~2  18~3  18~6, 18~7, 18~8, 18~9, 18~10"
PTN-2013-92,2013-03-21,"SA 7-1, 7-17 to 7-21, 7-23 to 7-25 and 7-27, 7-28 and 7-32",biotoxins,"sa 7~1  7~17, 7~18, 7~19, 7~20, 7~21  7~23, 7~24, 7~25 and 7~27  7~28 and 7~32"
PTN-2013-95,2013-04-11,"Area 13 except SA 13-1, 13-3 to 13-14, 13-15 TO 13-18",biotoxins,"area 13 except sa 13~1  13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12, 13~13, 13~14  13~15, 13~16, 13~17, 13~18"
PTN-2013-97,2013-04-12,"Areas 12 to 29, except  13-3 to 13-14, 13-16 to13-18, 14-5, 14-8, 14-15, 15-4, 16-16, 17-20",biotoxins,"areas   except 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12, 13~13, 13~14  13~16 to13~18  14~5  14~8  14~15  15~4  16~16  17~20"
PTN-2013-98,2013-04-15,SA 20-1 to 20-4,biotoxins,"sa 20~1, 20~2, 20~3, 20~4"
PTN-2014-1,2014-01-02,"Area 4, except 4-2 to 4-4, 4-9 and 4-13",biotoxins,"area 4  except 4~2, 4~3, 4~4  4~9 and 4~13"
PTN-2014-105,2014-03-10,SA 13-12 to 13-14,biotoxins,"sa 13~12, 13~13, 13~14"
PTN-2014-106,2014-03-10,"Area 23, except SA 23-3 to 23-6, 23-8",biotoxins,"area 23  except sa 23~3, 23~4, 23~5, 23~6  23~8"
PTN-2014-107,2014-03-10,"SA 23-3 to 23-6, 23-8",biotoxins,"sa 23~3, 23~4, 23~5, 23~6  23~8"
PTN-2014-108,2014-03-12,"Area 18, except SA 18-1 to 18-7 and 18-9 to 18-11",biotoxins,"area 18  except sa 18~1, 18~2, 18~3, 18~4, 18~5, 18~6, 18~7 and 18~9 to 18~11"
PTN-2014-109,2014-03-12,SA 18-1 to 18-7 and 18-9 to 18-11,biotoxins,"sa 18~1, 18~2, 18~3, 18~4, 18~5, 18~6, 18~7 and 18~9 to 18~11"
PTN-2014-116,2014-03-20,"Area 23, except SA 23-3 to 23-6, 23-8, 23-10",biotoxins,"area 23  except sa 23~3, 23~4, 23~5, 23~6  23~8  23~10"
PTN-2014-117,2014-03-20,"SA 23-3 to 23-6, 23-8, 23-10",biotoxins,"sa 23~3, 23~4, 23~5, 23~6  23~8  23~10"
PTN-2014-124,2014-04-02,SA 20-1 to 20-5,biotoxins,"sa 20~1, 20~2, 20~3, 20~4, 20~5"
PTN-2014-127,2014-04-11,"Area 5 except 5-11, 5-20 TO 5-22",biotoxins,"area 5 except 5~11  5~20, 5~21, 5~22"
PTN-2014-128,2014-04-11,"SA 5-11, 5-20 TO 5-22",biotoxins,"sa 5~11  5~20, 5~21, 5~22"
PTN-2014-13,2013-01-06,Area 25 except 25-3 TO 25-8 AND 25-15,biotoxins,"area 25 except 25~3, 25~4, 25~5, 25~6, 25~7, 25~8 and 25~15"
PTN-2014-131,2014-04-11,"Area 24 except 24-4 TO 24-9, 24-13, 24-14 AND PTN OF 24-3 (Shelter Inlet)",biotoxins,"area 24 except 24~4, 24~5, 24~6, 24~7, 24~8, 24~9  24~13  24~14 and ptn of 24~3 (shelter inlet)"
PTN-2014-132,2014-04-11,"SA 24-4 to 24-7, 24-13 AND 24-14 and ptn of 24-3 (Shelter Inlet)",biotoxins,"sa 24~4, 24~5, 24~6, 24~7  24~13 and 24~14 and ptn of 24~3 (shelter inlet)"
PTN-2014-137,2014-04-17,"Area 24 except 24-4, 24-6 TO 24-9, 24-13, 24-14 AND PTN OF 24-3 (Shelter Inlet)",biotoxins,"area 24 except 24~4  24~6, 24~7, 24~8, 24~9  24~13  24~14 and ptn of 24~3 (shelter inlet)"
PTN-2014-14,2013-01-06,SA 25-3 to 25-8 AND 25-15,biotoxins,"sa 25~3, 25~4, 25~5, 25~6, 25~7, 25~8 and 25~15"
PTN-2014-144,2014-04-25,Area 25 except SA 25-4 to 25-14,biotoxins,"area 25 except sa 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11, 25~12, 25~13, 25~14"
PTN-2014-145,2014-04-25,SA 25-4 to 25-14,biotoxins,"sa 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11, 25~12, 25~13, 25~14"
PTN-2014-151,2014-04-30,Area 25 except SA 25-4 to 25-12,biotoxins,"area 25 except sa 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11, 25~12"
PTN-2014-152,2014-04-30,SA 25-4 to 25-12,biotoxins,"sa 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11, 25~12"
PTN-2014-159,2014-05-13,"SA 18-1 to 18-7 and 18-9, 18-11",biotoxins,"sa 18~1, 18~2, 18~3, 18~4, 18~5, 18~6, 18~7 and 18~9  18~11"
PTN-2014-16,2013-01-08,"Area 26, except 26-4 to 26-6",biotoxins,"area 26  except 26~4, 26~5, 26~6"
PTN-2014-161,2014-05-13,"Area 24 except 24-4, 24-6 TO 24-9, 24-13, 24-14 AND PTN OF 24-3 (Shelter Inlet)",biotoxins,"area 24 except 24~4  24~6, 24~7, 24~8, 24~9  24~13  24~14 and ptn of 24~3 (shelter inlet)"
PTN-2014-165,2014-05-16,"Area 13 except SA 13-3 to 13-11, 13-15 to 13-17, 14-5, 14-8, 14-15, 15-4, 15-5 and 17-20",biotoxins,"area 13 except sa 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11  13~15, 13~16, 13~17  14~5  14~8  14~15  15~4  15~5 and 17~20"
PTN-2014-166,2014-05-16,Area 13 except 13-3 to 13-11 and 13-15 to 13-17,biotoxins,"area 13 except 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11 and 13~15 to 13~17"
PTN-2014-17,2013-01-08,SA 26-4 to 26-6,biotoxins,"sa 26~4, 26~5, 26~6"
PTN-2014-190,2014-05-22,"Area 13, except 13-1 and 13-12 to 13-17",biotoxins,"area 13  except 13~1 and 13~12, 13~13, 13~14, 13~15, 13~16, 13~17"
PTN-2014-192,2014-05-22,SA 13-12 to 13-14,biotoxins,"sa 13~12, 13~13, 13~14"
PTN-2014-193,2014-05-22,"Area 13 except SA 13-1,13-12 to 13-17, 14-5, 14-8, 14-15, 15-4, 15-5 and 17-20",biotoxins,"area 13 except sa 13~1 13~12, 13~13, 13~14, 13~15, 13~16, 13~17  14~5  14~8  14~15  15~4  15~5 and 17~20"
PTN-2014-194,2014-05-22,"Area 15, except 15-1 to  15-4 and ptn 15-5 (15-5.B and 15.C)",biotoxins,"area 15  except 15~1, 15~2, 15~3, 15~4 and ptn 15~5 (15~xx and xx)"
PTN-2014-196,2014-05-22,"Area 13 except SA 13-1,13-12 to 13-17, 14-5, 14-8, 14-15, 15-4, ptn 15-5 (15.B and 15.C) and 17-20",biotoxins,"area 13 except sa 13~1 13~12, 13~13, 13~14, 13~15, 13~16, 13~17  14~5  14~8  14~15  15~4  ptn 15~5 (xx and xx) and 17~20"
PTN-2014-197,2014-05-22,"Areas 101 to 110, 130 and 142, except 106-2",biotoxins,areas   130 and 142  except 106~2
PTN-2014-2,2014-01-02,"4-2 to 4-4, 4-9 and 4-13",biotoxins,"4~2, 4~3, 4~4  4~9 and 4~13"
PTN-2014-20,2013-01-09,Area 16 except SA 16-1 to 16-13 and 16-16 to 16-22,biotoxins,"area 16 except sa 16~1, 16~2, 16~3, 16~4, 16~5, 16~6, 16~7, 16~8, 16~9, 16~10, 16~11, 16~12, 16~13 and 16~16 to 16~22"
PTN-2014-206,2014-05-23,"Area 24 except 24-4, 24-6 TO 24-9, 24-13, 24-14 AND PTN OF 24-3 (Shelter Inlet)",biotoxins,"area 24 except 24~4  24~6, 24~7, 24~8, 24~9  24~13  24~14 and ptn of 24~3 (shelter inlet)"
PTN-2014-212,2014-05-26,"Area 16 except SA 16-1 to 16-10, 16-12, 16-13 and 16-17 to 16-22",biotoxins,"area 16 except sa 16~1, 16~2, 16~3, 16~4, 16~5, 16~6, 16~7, 16~8, 16~9, 16~10  16~12  16~13 and 16~17, 16~18, 16~19, 16~20, 16~21, 16~22"
PTN-2014-213,2014-05-26,"SA 16-1, 16-2 and 16-19 to 16-22",biotoxins,"sa 16~1  16~2 and 16~19, 16~20, 16~21, 16~22"
PTN-2014-215,2014-05-28,"SA 17-1, to 17-5, ptn 17-6, 17-8 to 17-10, 17-13, 17-15, 17-17",biotoxins,"sa 17~1  to 17~5  ptn 17~6  17~8, 17~9, 17~10  17~13  17~15  17~17"
PTN-2014-217,2014-05-29,"Area 16 except SA 16-1, 16-5 to 16-9, 16-12 to 16-13 and 16-19 to 16-22",biotoxins,"area 16 except sa 16~1  16~5, 16~6, 16~7, 16~8, 16~9  16~12, 16~13 and 16~19 to 16~22"
PTN-2014-218,2014-05-29,SA 16-1 and 16-19 to 16-22,biotoxins,"sa 16~1 and 16~19, 16~20, 16~21, 16~22"
PTN-2014-219,2014-05-30,Area 25 except SA 25-4 to 25-14,biotoxins,"area 25 except sa 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11, 25~12, 25~13, 25~14"
PTN-2014-22,2013-01-09,"SA 16-3, 16-4, 16-16 to 16-18, 16-20",biotoxins,"sa 16~3  16~4  16~16, 16~17, 16~18  16~20"
PTN-2014-220,2014-05-30,SA 25-4 to 25-14,biotoxins,"sa 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11, 25~12, 25~13, 25~14"
PTN-2014-222,2014-06-05,"SA 17-1 TO 17-3, 17-9, PTN SA 17-6",biotoxins,"sa 17~1, 17~2, 17~3  17~9  ptn sa 17~6"
PTN-2014-23,2013-01-09,"SA 17-1, to 17-6, 17-8 to 17-10, 17-13, 17-15, 17-17",biotoxins,"sa 17~1  to 17~6  17~8, 17~9, 17~10  17~13  17~15  17~17"
PTN-2014-230,2014-06-05,Area 25 except SA 25-4 to 25-12,biotoxins,"area 25 except sa 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11, 25~12"
PTN-2014-231,2014-06-05,SA 25-4 to 25-12,biotoxins,"sa 25~4, 25~5, 25~6, 25~7, 25~8, 25~9, 25~10, 25~11, 25~12"
PTN-2014-24,2013-01-09,"Area 18, except SA 18-1 to 18-7 and 18-9 to 18-11",biotoxins,"area 18  except sa 18~1, 18~2, 18~3, 18~4, 18~5, 18~6, 18~7 and 18~9 to 18~11"
PTN-2014-244,2014-06-16,"Area 26, except  26-3 TO 26-6",biotoxins,"area 26  except 26~3, 26~4, 26~5, 26~6"
PTN-2014-245,2014-06-16,SA 26-3 TO 26-6,biotoxins,"sa 26~3, 26~4, 26~5, 26~6"
PTN-2014-246,2014-06-18,"Area 16 except SA 16-1, 16-5 to 16-9, 16-11 to 16-13, 16-16 and 16-18 to 16-22",biotoxins,"area 16 except sa 16~1  16~5, 16~6, 16~7, 16~8, 16~9  16~11, 16~12, 16~13  16~16 and 16~18, 16~19, 16~20, 16~21, 16~22"
PTN-2014-248,2014-06-19,"Area 26, except  26-3 TO 26-5",biotoxins,"area 26  except 26~3, 26~4, 26~5"
PTN-2014-249,2014-06-19,SA 26-3 TO 26-5,biotoxins,"sa 26~3, 26~4, 26~5"
PTN-2014-25,2013-01-09,SA 18-1 to 18-7 and 18-9 to 18-11,biotoxins,"sa 18~1, 18~2, 18~3, 18~4, 18~5, 18~6, 18~7 and 18~9 to 18~11"
PTN-2014-250,2014-06-20,"Area 13 except SA 13-1, 13-3 to 13-17",biotoxins,"area 13 except sa 13~1  13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12, 13~13, 13~14, 13~15, 13~16, 13~17"
PTN-2014-251,2014-06-20,"Area 13 except SA 13-1,13-3 to 13-17, 14-5, 14-8, 14-15, 15-4, ptn 15-5 (15.B and 15.C) and 17-20",biotoxins,"area 13 except sa 13~1 13~3, 13~4, 13~5, 13~6, 13~7, 13~8, 13~9, 13~10, 13~11, 13~12, 13~13, 13~14, 13~15, 13~16, 13~17  14~5  14~8  14~15  15~4  ptn 15~5 (xx and xx) and 17~20"
PTN-2014-252,2014-06-20,"Area 16 except SA 16-2 to 16-4, 16-10, 16-11 and 16-16 to 16-18",biotoxins,"area 16 except sa 16~2, 16~3, 16~4  16~10  16~11 and 16~16, 16~17, 16~18"
PTN-2014-253,2014-06-20,"SA 16-2 to 16-4, 16-10, 16-11 and 16-16 to 16-18",biotoxins,"sa 16~2, 16~3, 16~4  16~10  16~11 and 16~16, 16~17, 16~18"
PTN-2014-254,2014-06-23,"Area 23, except SA 23-3 to 23-6, 23-8, 23-10",biotoxins,"area 23  except sa 23~3, 23~4, 23~5, 23~6  23~8  23~10"
PTN-2014-260,2014-06-27,"Area 16 except SA 16-5 to 16-9, 16-11 to 16-13, 16-16 and 16-18 to 16-22",biotoxins,"area 16 except sa 16~5, 16~6, 16~7, 16~8, 16~9  16~11, 16~12, 16~13  16~16 and 16~18, 16~19, 16~20, 16~21, 16~22"
PTN-2014-262,2014-06-27,SA 16-19 to 16-22,biotoxins,"sa 16~19, 16~20, 16~21, 16~22"
PTN-2014-268,2014-06-30,"Area 16 except SA 16-1 to  16-13, 16-16  to 16-22",biotoxins,"area 16 except sa 16~1, 16~2, 16~3, 16~4, 16~5, 16~6, 16~7, 16~8, 16~9, 16~10, 16~11, 16~12, 16~13  16~16, 16~17, 16~18, 16~19, 16~20, 16~21, 16~22"
PTN-2014-269,2014-06-30,"SA 16-2 to 16-4, 16-10, 16-11, 16-16 to 16-18",biotoxins,"sa 16~2, 16~3, 16~4  16~10  16~11  16~16, 16~17, 16~18"
PTN-2014-270,2014-06-30,"SA 16-1, 16-19 to 16-22",biotoxins,"sa 16~1  16~19, 16~20, 16~21, 16~22"
PTN-2014-273,2014-07-03,SA 17-1 TO 17-3,biotoxins,"sa 17~1, 17~2, 17~3"
