geo_code,csd_name,topic,characteristic,total,year
5919016,Lake Cowichan,Income of households in 2010,Median household total income ($),44170,2011
5919016,Lake Cowichan,Income of households in 2010,Median household total income ($),19111,2011
5919016,Lake Cowichan,Income of households in 2010,Median household total income ($),56131,2011
5919017,Cowichan Valley H,Labour force status,Employment rate,55.3,2011
5919017,Cowichan Valley H,Labour force status,Unemployment rate,4.8,2011
5919017,Cowichan Valley H,Income of individuals in 2010,Median income ($),26978,2011
5919017,Cowichan Valley H,Income of individuals in 2010,Median total income ($),22829,2011
5919017,Cowichan Valley H,Income of households in 2010,Median household total income ($),55972,2011
5919017,Cowichan Valley H,Income of households in 2010,Median household total income ($),21867,2011
5919017,Cowichan Valley H,Income of households in 2010,Median household total income ($),65002,2011
5919021,Ladysmith,Labour force status,Employment rate,55.7,2011
5919021,Ladysmith,Labour force status,Unemployment rate,5.9,2011
5919021,Ladysmith,Income of individuals in 2010,Median income ($),30009,2011
5919021,Ladysmith,Income of individuals in 2010,Median total income ($),25519,2011
5919021,Ladysmith,Income of households in 2010,Median household total income ($),54413,2011
5919021,Ladysmith,Income of households in 2010,Median household total income ($),28978,2011
5919021,Ladysmith,Income of households in 2010,Median household total income ($),71459,2011
5919035,Cowichan Valley I,Labour force status,Employment rate,37.3,2011
5919035,Cowichan Valley I,Labour force status,Unemployment rate,16.5,2011
5919035,Cowichan Valley I,Income of individuals in 2010,Median income ($),22436,2011
5919035,Cowichan Valley I,Income of individuals in 2010,Median total income ($),20837,2011
5919035,Cowichan Valley I,Income of households in 2010,Median household total income ($),35197,2011
5919035,Cowichan Valley I,Income of households in 2010,Median household total income ($),26065,2011
5919035,Cowichan Valley I,Income of households in 2010,Median household total income ($),46211,2011
5919043,Cowichan Valley A,Labour force status,Employment rate,56.3,2011
5919043,Cowichan Valley A,Labour force status,Unemployment rate,5.1,2011
5919043,Cowichan Valley A,Income of individuals in 2010,Median income ($),32585,2011
5919043,Cowichan Valley A,Income of individuals in 2010,Median total income ($),27754,2011
5919043,Cowichan Valley A,Income of households in 2010,Median household total income ($),74378,2011
5919043,Cowichan Valley A,Income of households in 2010,Median household total income ($),32234,2011
5919043,Cowichan Valley A,Income of households in 2010,Median household total income ($),84072,2011
5919046,Cowichan Valley B,Labour force status,Employment rate,68.1,2011
5919046,Cowichan Valley B,Labour force status,Unemployment rate,6.8,2011
5919046,Cowichan Valley B,Income of individuals in 2010,Median income ($),34294,2011
5919046,Cowichan Valley B,Income of individuals in 2010,Median total income ($),25550,2011
5919046,Cowichan Valley B,Income of households in 2010,Median household total income ($),78731,2011
5919046,Cowichan Valley B,Income of households in 2010,Median household total income ($),39996,2011
5919046,Cowichan Valley B,Income of households in 2010,Median household total income ($),84871,2011
5919049,Cowichan Valley C,Labour force status,Employment rate,51.1,2011
5919049,Cowichan Valley C,Labour force status,Unemployment rate,7.5,2011
5919049,Cowichan Valley C,Income of individuals in 2010,Median income ($),33355,2011
5919049,Cowichan Valley C,Income of individuals in 2010,Median total income ($),29890,2011
5919049,Cowichan Valley C,Income of households in 2010,Median household total income ($),71108,2011
5919049,Cowichan Valley C,Income of households in 2010,Median household total income ($),29944,2011
5919049,Cowichan Valley C,Income of households in 2010,Median household total income ($),81362,2011
5919051,Cowichan Valley E,Labour force status,Employment rate,62.3,2011
5919051,Cowichan Valley E,Labour force status,Unemployment rate,6.4,2011
5919051,Cowichan Valley E,Income of individuals in 2010,Median income ($),30456,2011
5919051,Cowichan Valley E,Income of individuals in 2010,Median total income ($),27273,2011
5919051,Cowichan Valley E,Income of households in 2010,Median household total income ($),74475,2011
5919051,Cowichan Valley E,Income of households in 2010,Median household total income ($),33049,2011
5919051,Cowichan Valley E,Income of households in 2010,Median household total income ($),85070,2011
5919801,Halalt 2,Labour force status,Employment rate,37.5,2011
5919801,Halalt 2,Labour force status,Unemployment rate,30.8,2011
5919801,Halalt 2,Income of individuals in 2010,Median income ($),NA,2011
5919801,Halalt 2,Income of individuals in 2010,Median total income ($),NA,2011
5919801,Halalt 2,Income of households in 2010,Median household total income ($),NA,2011
5919801,Halalt 2,Income of households in 2010,Median household total income ($),NA,2011
5919802,Squaw-hay-one 11,Labour force status,Employment rate,33.3,2011
5919802,Squaw-hay-one 11,Labour force status,Unemployment rate,0,2011
5919802,Squaw-hay-one 11,Income of individuals in 2010,Median income ($),NA,2011
5919802,Squaw-hay-one 11,Income of individuals in 2010,Median total income ($),NA,2011
5919802,Squaw-hay-one 11,Income of households in 2010,Median household total income ($),NA,2011
5919802,Squaw-hay-one 11,Income of households in 2010,Median household total income ($),NA,2011
5919803,Tsussie 6,Labour force status,Employment rate,23.1,2011
5919803,Tsussie 6,Labour force status,Unemployment rate,50,2011
5919803,Tsussie 6,Income of individuals in 2010,Median income ($),NA,2011
5919803,Tsussie 6,Income of individuals in 2010,Median total income ($),NA,2011
5919803,Tsussie 6,Income of households in 2010,Median household total income ($),NA,2011
5919803,Tsussie 6,Income of households in 2010,Median household total income ($),NA,2011
5919804,Chemainus 13,Labour force status,Employment rate,27.7,2011
5919804,Chemainus 13,Labour force status,Unemployment rate,39,2011
5919804,Chemainus 13,Income of individuals in 2010,Median income ($),10904,2011
5919804,Chemainus 13,Income of individuals in 2010,Median total income ($),8873,2011
5919804,Chemainus 13,Income of households in 2010,Median household total income ($),38346,2011
5919804,Chemainus 13,Income of households in 2010,Median household total income ($),0,2011
5919804,Chemainus 13,Income of households in 2010,Median household total income ($),40499,2011
5919809,Kuper Island 7,Labour force status,Employment rate,24.6,2011
5919809,Kuper Island 7,Labour force status,Unemployment rate,31.8,2011
5919809,Kuper Island 7,Income of individuals in 2010,Median income ($),7122,2011
5919809,Kuper Island 7,Income of individuals in 2010,Median total income ($),1701,2011
5919809,Kuper Island 7,Income of households in 2010,Median household total income ($),19645,2011
5919809,Kuper Island 7,Income of households in 2010,Median household total income ($),2829,2011
5919809,Kuper Island 7,Income of households in 2010,Median household total income ($),23349,2011
5919814,Malachan 11,Labour force status,Employment rate,31.6,2011
5919814,Malachan 11,Labour force status,Unemployment rate,30,2011
5919814,Malachan 11,Income of individuals in 2010,Median income ($),NA,2011
5919814,Malachan 11,Income of individuals in 2010,Median total income ($),NA,2011
5919814,Malachan 11,Income of households in 2010,Median household total income ($),NA,2011
5919814,Malachan 11,Income of households in 2010,Median household total income ($),NA,2011
5919815,Malahat 11,Labour force status,Employment rate,23.1,2011
5919815,Malahat 11,Labour force status,Unemployment rate,42.9,2011
5919815,Malahat 11,Income of individuals in 2010,Median income ($),NA,2011
5919815,Malahat 11,Income of individuals in 2010,Median total income ($),NA,2011
5919815,Malahat 11,Income of households in 2010,Median household total income ($),NA,2011
5919815,Malahat 11,Income of households in 2010,Median household total income ($),NA,2011
5919816,Oyster Bay 12,Labour force status,Employment rate,27.3,2011
5919816,Oyster Bay 12,Labour force status,Unemployment rate,0,2011
5919816,Oyster Bay 12,Income of individuals in 2010,Median income ($),NA,2011
5919816,Oyster Bay 12,Income of individuals in 2010,Median total income ($),NA,2011
5919816,Oyster Bay 12,Income of households in 2010,Median household total income ($),NA,2011
5919816,Oyster Bay 12,Income of households in 2010,Median household total income ($),NA,2011
5919822,Cowichan,Labour force status,Employment rate,26.6,2011
5919822,Cowichan,Labour force status,Unemployment rate,41.4,2011
5919822,Cowichan,Income of individuals in 2010,Median income ($),12620,2011
5919822,Cowichan,Income of individuals in 2010,Median total income ($),14439,2011
5919822,Cowichan,Income of households in 2010,Median household total income ($),39182,2011
5919822,Cowichan,Income of households in 2010,Median household total income ($),21922,2011
5919822,Cowichan,Income of households in 2010,Median household total income ($),41614,2011
5921007,Nanaimo,Labour force status,Employment rate,56.2,2011
5921007,Nanaimo,Labour force status,Unemployment rate,9.2,2011
5921007,Nanaimo,Income of individuals in 2010,Median income ($),27620,2011
5921007,Nanaimo,Income of individuals in 2010,Median total income ($),23892,2011
5921007,Nanaimo,Income of households in 2010,Median household total income ($),52744,2011
5921007,Nanaimo,Income of households in 2010,Median household total income ($),27843,2011
5921007,Nanaimo,Income of households in 2010,Median household total income ($),67043,2011
5921008,Lantzville,Labour force status,Employment rate,57.6,2011
5921008,Lantzville,Labour force status,Unemployment rate,9.1,2011
5921008,Lantzville,Income of individuals in 2010,Median income ($),34461,2011
5921008,Lantzville,Income of individuals in 2010,Median total income ($),31724,2011
5921008,Lantzville,Income of households in 2010,Median household total income ($),69426,2011
5921008,Lantzville,Income of households in 2010,Median household total income ($),33584,2011
5921008,Lantzville,Income of households in 2010,Median household total income ($),77307,2011
5921010,Nanaimo A,Labour force status,Employment rate,59.3,2011
5921010,Nanaimo A,Labour force status,Unemployment rate,8.4,2011
5921010,Nanaimo A,Income of individuals in 2010,Median income ($),26984,2011
5921010,Nanaimo A,Income of individuals in 2010,Median total income ($),25687,2011
5921010,Nanaimo A,Income of households in 2010,Median household total income ($),61420,2011
5921010,Nanaimo A,Income of households in 2010,Median household total income ($),25727,2011
5921010,Nanaimo A,Income of households in 2010,Median household total income ($),69323,2011
5921014,Nanaimo B,Labour force status,Employment rate,45.8,2011
5921014,Nanaimo B,Labour force status,Unemployment rate,7.7,2011
5921014,Nanaimo B,Income of individuals in 2010,Median income ($),27169,2011
5921014,Nanaimo B,Income of individuals in 2010,Median total income ($),23567,2011
5921014,Nanaimo B,Income of households in 2010,Median household total income ($),48133,2011
5921014,Nanaimo B,Income of households in 2010,Median household total income ($),25098,2011
5921014,Nanaimo B,Income of households in 2010,Median household total income ($),67276,2011
5921016,Nanaimo C,Labour force status,Employment rate,55.4,2011
5921016,Nanaimo C,Labour force status,Unemployment rate,9.9,2011
5921016,Nanaimo C,Income of individuals in 2010,Median income ($),32027,2011
5921016,Nanaimo C,Income of individuals in 2010,Median total income ($),19477,2011
5921016,Nanaimo C,Income of households in 2010,Median household total income ($),70906,2011
5921016,Nanaimo C,Income of households in 2010,Median household total income ($),19515,2011
5921016,Nanaimo C,Income of households in 2010,Median household total income ($),85353,2011
5921018,Parksville,Labour force status,Employment rate,41.3,2011
5921018,Parksville,Labour force status,Unemployment rate,8.9,2011
5921018,Parksville,Income of individuals in 2010,Median income ($),27942,2011
5921018,Parksville,Income of individuals in 2010,Median total income ($),26889,2011
5921018,Parksville,Income of households in 2010,Median household total income ($),50261,2011
5921018,Parksville,Income of households in 2010,Median household total income ($),26902,2011
5921018,Parksville,Income of households in 2010,Median household total income ($),60321,2011
5921023,Qualicum Beach,Labour force status,Employment rate,31.4,2011
5921023,Qualicum Beach,Labour force status,Unemployment rate,6.8,2011
5921023,Qualicum Beach,Income of individuals in 2010,Median income ($),28740,2011
5921023,Qualicum Beach,Income of individuals in 2010,Median total income ($),30732,2011
5921023,Qualicum Beach,Income of households in 2010,Median household total income ($),55445,2011
5921023,Qualicum Beach,Income of households in 2010,Median household total income ($),30743,2011
5921023,Qualicum Beach,Income of households in 2010,Median household total income ($),67199,2011
5921030,Nanaimo E,Labour force status,Employment rate,44.9,2011
5921030,Nanaimo E,Labour force status,Unemployment rate,7,2011
5921030,Nanaimo E,Income of individuals in 2010,Median income ($),32076,2011
5921030,Nanaimo E,Income of individuals in 2010,Median total income ($),28787,2011
5921030,Nanaimo E,Income of households in 2010,Median household total income ($),68463,2011
5921030,Nanaimo E,Income of households in 2010,Median household total income ($),30991,2011
5921030,Nanaimo E,Income of households in 2010,Median household total income ($),79022,2011
5921032,Nanaimo F,Labour force status,Employment rate,58.7,2011
5921032,Nanaimo F,Labour force status,Unemployment rate,6.5,2011
5921032,Nanaimo F,Income of individuals in 2010,Median income ($),26123,2011
5921032,Nanaimo F,Income of individuals in 2010,Median total income ($),22664,2011
5921032,Nanaimo F,Income of households in 2010,Median household total income ($),48519,2011
5921032,Nanaimo F,Income of households in 2010,Median household total income ($),27470,2011
5921032,Nanaimo F,Income of households in 2010,Median household total income ($),62079,2011
5921034,Nanaimo G,Labour force status,Employment rate,44.7,2011
5921034,Nanaimo G,Labour force status,Unemployment rate,10.1,2011
5921034,Nanaimo G,Income of individuals in 2010,Median income ($),28871,2011
5921034,Nanaimo G,Income of individuals in 2010,Median total income ($),26442,2011
5921034,Nanaimo G,Income of households in 2010,Median household total income ($),60726,2011
5921034,Nanaimo G,Income of households in 2010,Median household total income ($),27305,2011
5921034,Nanaimo G,Income of households in 2010,Median household total income ($),71057,2011
5921036,Nanaimo H,Labour force status,Employment rate,43.4,2011
5921036,Nanaimo H,Labour force status,Unemployment rate,6.3,2011
5921036,Nanaimo H,Income of individuals in 2010,Median income ($),24729,2011
5921036,Nanaimo H,Income of individuals in 2010,Median total income ($),23918,2011
5921036,Nanaimo H,Income of households in 2010,Median household total income ($),47404,2011
5921036,Nanaimo H,Income of households in 2010,Median household total income ($),23871,2011
5921036,Nanaimo H,Income of households in 2010,Median household total income ($),61494,2011
5921804,Nanaimo Town 1,Labour force status,Employment rate,37.7,2011
5921804,Nanaimo Town 1,Labour force status,Unemployment rate,20,2011
5921804,Nanaimo Town 1,Income of individuals in 2010,Median income ($),15084,2011
5921804,Nanaimo Town 1,Income of individuals in 2010,Median total income ($),15304,2011
5921804,Nanaimo Town 1,Income of households in 2010,Median household total income ($),35408,2011
5921804,Nanaimo Town 1,Income of households in 2010,Median household total income ($),14747,2011
5921804,Nanaimo Town 1,Income of households in 2010,Median household total income ($),39089,2011
5921805,Nanoose,Labour force status,Employment rate,44.4,2011
5921805,Nanoose,Labour force status,Unemployment rate,26.7,2011
5921805,Nanoose,Income of individuals in 2010,Median income ($),NA,2011
5921805,Nanoose,Income of individuals in 2010,Median total income ($),NA,2011
5921805,Nanoose,Income of households in 2010,Median household total income ($),NA,2011
5921805,Nanoose,Income of households in 2010,Median household total income ($),NA,2011
5921806,Qualicum,Labour force status,Employment rate,61.5,2011
5921806,Qualicum,Labour force status,Unemployment rate,0,2011
5921806,Qualicum,Income of individuals in 2010,Median income ($),NA,2011
5921806,Qualicum,Income of individuals in 2010,Median total income ($),NA,2011
5921806,Qualicum,Income of households in 2010,Median household total income ($),NA,2011
5921806,Qualicum,Income of households in 2010,Median household total income ($),NA,2011
5921807,Nanaimo River,Labour force status,Employment rate,16.3,2011
5921807,Nanaimo River,Labour force status,Unemployment rate,46.2,2011
5921807,Nanaimo River,Income of individuals in 2010,Median income ($),9550,2011
5921807,Nanaimo River,Income of individuals in 2010,Median total income ($),15552,2011
5921807,Nanaimo River,Income of households in 2010,Median household total income ($),24001,2011
5921807,Nanaimo River,Income of households in 2010,Median household total income ($),16604,2011
5921807,Nanaimo River,Income of households in 2010,Median household total income ($),29200,2011
5923008,Port Alberni,Labour force status,Employment rate,43.7,2011
5923008,Port Alberni,Labour force status,Unemployment rate,11.1,2011
5923008,Port Alberni,Income of individuals in 2010,Median income ($),24888,2011
5923008,Port Alberni,Income of individuals in 2010,Median total income ($),23441,2011
5923008,Port Alberni,Income of households in 2010,Median household total income ($),44819,2011
5923008,Port Alberni,Income of households in 2010,Median household total income ($),24947,2011
5923008,Port Alberni,Income of households in 2010,Median household total income ($),58456,2011
5923033,Alberni-Clayoquot B,Labour force status,Employment rate,55.7,2011
5923033,Alberni-Clayoquot B,Labour force status,Unemployment rate,0,2011
5923033,Alberni-Clayoquot B,Income of individuals in 2010,Median income ($),25188,2011
5923033,Alberni-Clayoquot B,Income of individuals in 2010,Median total income ($),22832,2011
5923033,Alberni-Clayoquot B,Income of households in 2010,Median household total income ($),50405,2011
5923033,Alberni-Clayoquot B,Income of households in 2010,Median household total income ($),22832,2011
5923033,Alberni-Clayoquot B,Income of households in 2010,Median household total income ($),68315,2011
5923035,Alberni-Clayoquot D,Labour force status,Employment rate,47.5,2011
5923035,Alberni-Clayoquot D,Labour force status,Unemployment rate,6.4,2011
5923035,Alberni-Clayoquot D,Income of individuals in 2010,Median income ($),29448,2011
5923035,Alberni-Clayoquot D,Income of individuals in 2010,Median total income ($),39991,2011
5923035,Alberni-Clayoquot D,Income of households in 2010,Median household total income ($),53737,2011
5923035,Alberni-Clayoquot D,Income of households in 2010,Median household total income ($),40044,2011
5923035,Alberni-Clayoquot D,Income of households in 2010,Median household total income ($),93114,2011
5923037,Alberni-Clayoquot E,Labour force status,Employment rate,54.3,2011
5923037,Alberni-Clayoquot E,Labour force status,Unemployment rate,6,2011
5923037,Alberni-Clayoquot E,Income of individuals in 2010,Median income ($),26461,2011
5923037,Alberni-Clayoquot E,Income of individuals in 2010,Median total income ($),26409,2011
5923037,Alberni-Clayoquot E,Income of households in 2010,Median household total income ($),55151,2011
5923037,Alberni-Clayoquot E,Income of households in 2010,Median household total income ($),30477,2011
5923037,Alberni-Clayoquot E,Income of households in 2010,Median household total income ($),67788,2011
5923039,Alberni-Clayoquot F,Labour force status,Employment rate,52.8,2011
5923039,Alberni-Clayoquot F,Labour force status,Unemployment rate,8,2011
5923039,Alberni-Clayoquot F,Income of individuals in 2010,Median income ($),26544,2011
5923039,Alberni-Clayoquot F,Income of individuals in 2010,Median total income ($),29270,2011
5923039,Alberni-Clayoquot F,Income of households in 2010,Median household total income ($),50292,2011
5923039,Alberni-Clayoquot F,Income of households in 2010,Median household total income ($),30890,2011
5923039,Alberni-Clayoquot F,Income of households in 2010,Median household total income ($),53198,2011
5923801,Ahahswinis 1,Labour force status,Employment rate,30.8,2011
5923801,Ahahswinis 1,Labour force status,Unemployment rate,38.5,2011
5923801,Ahahswinis 1,Income of individuals in 2010,Median income ($),NA,2011
5923801,Ahahswinis 1,Income of individuals in 2010,Median total income ($),NA,2011
5923801,Ahahswinis 1,Income of households in 2010,Median household total income ($),NA,2011
5923801,Ahahswinis 1,Income of households in 2010,Median household total income ($),NA,2011
5923803,Anacla 12,Labour force status,Employment rate,61.5,2011
5923803,Anacla 12,Labour force status,Unemployment rate,0,2011
5923803,Anacla 12,Income of individuals in 2010,Median income ($),NA,2011
5923803,Anacla 12,Income of individuals in 2010,Median total income ($),NA,2011
5923803,Anacla 12,Income of households in 2010,Median household total income ($),NA,2011
5923803,Anacla 12,Income of households in 2010,Median household total income ($),NA,2011
5923807,Ittatsoo 1,Labour force status,Employment rate,45.2,2011
5923807,Ittatsoo 1,Labour force status,Unemployment rate,26.9,2011
5923807,Ittatsoo 1,Income of individuals in 2010,Median income ($),NA,2011
5923807,Ittatsoo 1,Income of individuals in 2010,Median total income ($),NA,2011
5923807,Ittatsoo 1,Income of households in 2010,Median household total income ($),NA,2011
5923807,Ittatsoo 1,Income of households in 2010,Median household total income ($),NA,2011
5923808,Marktosis 15,Labour force status,Employment rate,49.5,2011
5923808,Marktosis 15,Labour force status,Unemployment rate,19,2011
5923808,Marktosis 15,Income of individuals in 2010,Median income ($),16589,2011
5923808,Marktosis 15,Income of individuals in 2010,Median total income ($),19575,2011
5923808,Marktosis 15,Income of households in 2010,Median household total income ($),54828,2011
5923808,Marktosis 15,Income of households in 2010,Median household total income ($),35125,2011
5923808,Marktosis 15,Income of households in 2010,Median household total income ($),57890,2011
5923813,Opitsat 1,Labour force status,Employment rate,36.4,2011
5923813,Opitsat 1,Labour force status,Unemployment rate,0,2011
5923813,Opitsat 1,Income of individuals in 2010,Median income ($),NA,2011
5923813,Opitsat 1,Income of individuals in 2010,Median total income ($),NA,2011
5923813,Opitsat 1,Income of households in 2010,Median household total income ($),NA,2011
5923813,Opitsat 1,Income of households in 2010,Median household total income ($),NA,2011
5923816,Tsahaheh 1,Labour force status,Employment rate,41.7,2011
5923816,Tsahaheh 1,Labour force status,Unemployment rate,29.4,2011
5923816,Tsahaheh 1,Income of individuals in 2010,Median income ($),17622,2011
5923816,Tsahaheh 1,Income of individuals in 2010,Median total income ($),13021,2011
5923816,Tsahaheh 1,Income of households in 2010,Median household total income ($),33888,2011
5923816,Tsahaheh 1,Income of households in 2010,Median household total income ($),13456,2011
5923816,Tsahaheh 1,Income of households in 2010,Median household total income ($),37985,2011
5923823,Esowista 3,Labour force status,Employment rate,38.5,2011
5923823,Esowista 3,Labour force status,Unemployment rate,15.4,2011
5923823,Esowista 3,Income of individuals in 2010,Median income ($),NA,2011
5923823,Esowista 3,Income of individuals in 2010,Median total income ($),NA,2011
5923823,Esowista 3,Income of households in 2010,Median household total income ($),NA,2011
5923823,Esowista 3,Income of households in 2010,Median household total income ($),NA,2011
5923824,Refuge Cove 6,Labour force status,Employment rate,54.5,2011
5923824,Refuge Cove 6,Labour force status,Unemployment rate,28.6,2011
5923824,Refuge Cove 6,Income of individuals in 2010,Median income ($),NA,2011
5923824,Refuge Cove 6,Income of individuals in 2010,Median total income ($),NA,2011
5923824,Refuge Cove 6,Income of households in 2010,Median household total income ($),NA,2011
5923824,Refuge Cove 6,Income of households in 2010,Median household total income ($),NA,2011
5924029,Zeballos,Labour force status,Employment rate,82.4,2011
5924029,Zeballos,Labour force status,Unemployment rate,0,2011
5924029,Zeballos,Income of individuals in 2010,Median income ($),NA,2011
5924029,Zeballos,Income of individuals in 2010,Median total income ($),NA,2011
5924029,Zeballos,Income of households in 2010,Median household total income ($),NA,2011
5924029,Zeballos,Income of households in 2010,Median household total income ($),NA,2011
5924034,Campbell River,Labour force status,Employment rate,55.9,2011
5924034,Campbell River,Labour force status,Unemployment rate,9.1,2011
5924034,Campbell River,Income of individuals in 2010,Median income ($),28329,2011
5924034,Campbell River,Income of individuals in 2010,Median total income ($),25933,2011
5924034,Campbell River,Income of households in 2010,Median household total income ($),56362,2011
5924034,Campbell River,Income of households in 2010,Median household total income ($),30025,2011
5924034,Campbell River,Income of households in 2010,Median household total income ($),69374,2011
5924039,Sayward,Labour force status,Employment rate,43.1,2011
5924039,Sayward,Labour force status,Unemployment rate,13.8,2011
5924039,Sayward,Income of individuals in 2010,Median income ($),30703,2011
5924039,Sayward,Income of individuals in 2010,Median total income ($),60588,2011
5924039,Sayward,Income of households in 2010,Median household total income ($),60554,2011
5924039,Sayward,Income of households in 2010,Median household total income ($),60588,2011
5924039,Sayward,Income of households in 2010,Median household total income ($),46209,2011
5924042,Strathcona D (Oyster Bay - Buttle Lake),Labour force status,Employment rate,55.1,2011
5924042,Strathcona D (Oyster Bay - Buttle Lake),Labour force status,Unemployment rate,9.2,2011
5924042,Strathcona D (Oyster Bay - Buttle Lake),Income of individuals in 2010,Median income ($),31887,2011
5924042,Strathcona D (Oyster Bay - Buttle Lake),Income of individuals in 2010,Median total income ($),33151,2011
5924042,Strathcona D (Oyster Bay - Buttle Lake),Income of households in 2010,Median household total income ($),64265,2011
5924042,Strathcona D (Oyster Bay - Buttle Lake),Income of households in 2010,Median household total income ($),33709,2011
5924042,Strathcona D (Oyster Bay - Buttle Lake),Income of households in 2010,Median household total income ($),70518,2011
5924052,Strathcona B,Labour force status,Employment rate,57.8,2011
5924052,Strathcona B,Labour force status,Unemployment rate,7.5,2011
5924052,Strathcona B,Income of individuals in 2010,Median income ($),26303,2011
5924052,Strathcona B,Income of individuals in 2010,Median total income ($),34996,2011
5924052,Strathcona B,Income of households in 2010,Median household total income ($),50173,2011
5924052,Strathcona B,Income of households in 2010,Median household total income ($),38757,2011
5924052,Strathcona B,Income of households in 2010,Median household total income ($),51609,2011
5924054,Strathcona C,Labour force status,Employment rate,56.7,2011
5924054,Strathcona C,Labour force status,Unemployment rate,10.3,2011
5924054,Strathcona C,Income of individuals in 2010,Median income ($),27771,2011
5924054,Strathcona C,Income of individuals in 2010,Median total income ($),32519,2011
5924054,Strathcona C,Income of households in 2010,Median household total income ($),54417,2011
5924054,Strathcona C,Income of households in 2010,Median household total income ($),38409,2011
5924054,Strathcona C,Income of households in 2010,Median household total income ($),62254,2011
5924804,Campbell River 11,Labour force status,Employment rate,50.8,2011
5924804,Campbell River 11,Labour force status,Unemployment rate,17.9,2011
5924804,Campbell River 11,Income of individuals in 2010,Median income ($),22519,2011
5924804,Campbell River 11,Income of individuals in 2010,Median total income ($),16319,2011
5924804,Campbell River 11,Income of households in 2010,Median household total income ($),48783,2011
5924804,Campbell River 11,Income of households in 2010,Median household total income ($),17118,2011
5924804,Campbell River 11,Income of households in 2010,Median household total income ($),58819,2011
5924806,Houpsitas 6,Labour force status,Employment rate,54.2,2011
5924806,Houpsitas 6,Labour force status,Unemployment rate,25,2011
5924806,Houpsitas 6,Income of individuals in 2010,Median income ($),NA,2011
5924806,Houpsitas 6,Income of individuals in 2010,Median total income ($),NA,2011
5924806,Houpsitas 6,Income of households in 2010,Median household total income ($),NA,2011
5924806,Houpsitas 6,Income of households in 2010,Median household total income ($),NA,2011
5924812,Quinsam 12,Labour force status,Employment rate,60,2011
5924812,Quinsam 12,Labour force status,Unemployment rate,17.2,2011
5924812,Quinsam 12,Income of individuals in 2010,Median income ($),NA,2011
5924812,Quinsam 12,Income of individuals in 2010,Median total income ($),NA,2011
5924812,Quinsam 12,Income of households in 2010,Median household total income ($),NA,2011
5924812,Quinsam 12,Income of households in 2010,Median household total income ($),NA,2011
5924817,Cape Mudge 10,Labour force status,Employment rate,40,2011
5924817,Cape Mudge 10,Labour force status,Unemployment rate,23.1,2011
5924817,Cape Mudge 10,Income of individuals in 2010,Median income ($),NA,2011
5924817,Cape Mudge 10,Income of individuals in 2010,Median total income ($),NA,2011
5924817,Cape Mudge 10,Income of households in 2010,Median household total income ($),NA,2011
5924817,Cape Mudge 10,Income of households in 2010,Median household total income ($),NA,2011
5924820,Tork 7,Labour force status,Employment rate,42.9,2011
5924820,Tork 7,Labour force status,Unemployment rate,50,2011
5924820,Tork 7,Income of individuals in 2010,Median income ($),NA,2011
5924820,Tork 7,Income of individuals in 2010,Median total income ($),NA,2011
5924820,Tork 7,Income of households in 2010,Median household total income ($),NA,2011
5924820,Tork 7,Income of households in 2010,Median household total income ($),NA,2011
5924835,Tsa Xana 18,Labour force status,Employment rate,23.3,2011
5924835,Tsa Xana 18,Labour force status,Unemployment rate,36.4,2011
5924835,Tsa Xana 18,Income of individuals in 2010,Median income ($),NA,2011
5924835,Tsa Xana 18,Income of individuals in 2010,Median total income ($),NA,2011
5924835,Tsa Xana 18,Income of households in 2010,Median household total income ($),NA,2011
5924835,Tsa Xana 18,Income of households in 2010,Median household total income ($),NA,2011
5924836,Ehatis 11,Labour force status,Employment rate,62.5,2011
5924836,Ehatis 11,Labour force status,Unemployment rate,0,2011
5924836,Ehatis 11,Income of individuals in 2010,Median income ($),NA,2011
5924836,Ehatis 11,Income of individuals in 2010,Median total income ($),NA,2011
5924836,Ehatis 11,Income of households in 2010,Median household total income ($),NA,2011
5924836,Ehatis 11,Income of households in 2010,Median household total income ($),NA,2011
5924840,Homalco 9,Labour force status,Employment rate,27.3,2011
5924840,Homalco 9,Labour force status,Unemployment rate,50,2011
5924840,Homalco 9,Income of individuals in 2010,Median income ($),NA,2011
5924840,Homalco 9,Income of individuals in 2010,Median total income ($),NA,2011
5924840,Homalco 9,Income of households in 2010,Median household total income ($),NA,2011
5924840,Homalco 9,Income of households in 2010,Median household total income ($),NA,2011
5926005,Comox,Labour force status,Employment rate,54,2011
5926005,Comox,Labour force status,Unemployment rate,7.4,2011
5926005,Comox,Income of individuals in 2010,Median income ($),32193,2011
5926005,Comox,Income of individuals in 2010,Median total income ($),32173,2011
5926005,Comox,Income of households in 2010,Median household total income ($),61029,2011
5926005,Comox,Income of households in 2010,Median household total income ($),32161,2011
5926005,Comox,Income of households in 2010,Median household total income ($),76509,2011
5926010,Courtenay,Labour force status,Employment rate,51.8,2011
5926010,Courtenay,Labour force status,Unemployment rate,11.1,2011
5926010,Courtenay,Income of individuals in 2010,Median income ($),26383,2011
5926010,Courtenay,Income of individuals in 2010,Median total income ($),24510,2011
5926010,Courtenay,Income of households in 2010,Median household total income ($),50168,2011
5926010,Courtenay,Income of households in 2010,Median household total income ($),27685,2011
5926010,Courtenay,Income of households in 2010,Median household total income ($),63827,2011
5926014,Cumberland,Labour force status,Employment rate,60.7,2011
